hand_1;hand_2;flop;turn;p1_win;p2_win;draw
[('H', 5), ('C', 10)];[('C', 2), ('D', 11)];[('S', 9), ('H', 11), ('C', 11)];[('H', 2)];0.0;1.0;0.0
[('S', 2), ('D', 8)];[('D', 5), ('C', 2)];[('H', 5), ('S', 12), ('H', 11)];[('D', 7)];0.06818181818181818;0.9318181818181818;0.0
[('H', 5), ('C', 13)];[('D', 11), ('H', 13)];[('C', 3), ('H', 3), ('D', 2)];[('D', 4)];0.1590909090909091;0.7045454545454546;0.13636363636363635
[('D', 9), ('C', 4)];[('D', 5), ('S', 10)];[('S', 14), ('D', 8), ('D', 14)];[('C', 10)];0.0;1.0;0.0
[('C', 8), ('C', 6)];[('S', 11), ('C', 11)];[('S', 7), ('C', 14), ('H', 10)];[('D', 6)];0.20454545454545456;0.7954545454545454;0.0
[('D', 12), ('C', 10)];[('H', 5), ('D', 13)];[('C', 2), ('H', 12), ('S', 8)];[('C', 4)];0.9318181818181818;0.06818181818181818;0.0
[('D', 5), ('D', 13)];[('H', 5), ('D', 14)];[('D', 2), ('H', 13), ('S', 6)];[('C', 8)];0.9318181818181818;0.06818181818181818;0.0
[('S', 9), ('D', 13)];[('D', 6), ('S', 5)];[('C', 7), ('D', 3), ('S', 4)];[('S', 2)];0.0;1.0;0.0
[('H', 3), ('S', 2)];[('H', 13), ('S', 6)];[('S', 5), ('H', 4), ('H', 9)];[('D', 7)];0.13636363636363635;0.8636363636363636;0.0
[('C', 11), ('H', 13)];[('H', 14), ('C', 8)];[('S', 14), ('H', 11), ('D', 8)];[('D', 4)];0.045454545454545456;0.9545454545454546;0.0
[('H', 14), ('S', 3)];[('C', 6), ('D', 12)];[('H', 13), ('C', 8), ('S', 9)];[('S', 7)];0.6818181818181818;0.3181818181818182;0.0
[('S', 9), ('H', 3)];[('D', 12), ('C', 12)];[('C', 4), ('D', 6), ('H', 13)];[('H', 6)];0.0;1.0;0.0
[('D', 9), ('C', 6)];[('D', 10), ('C', 11)];[('S', 14), ('H', 2), ('C', 8)];[('D', 12)];0.06818181818181818;0.9318181818181818;0.0
[('H', 7), ('D', 6)];[('H', 3), ('S', 12)];[('S', 14), ('D', 5), ('H', 14)];[('D', 3)];0.22727272727272727;0.7727272727272727;0.0
[('S', 3), ('S', 10)];[('H', 4), ('C', 12)];[('H', 9), ('C', 11), ('D', 7)];[('C', 8)];0.9318181818181818;0.06818181818181818;0.0
[('C', 8), ('C', 12)];[('C', 13), ('D', 7)];[('H', 3), ('S', 13), ('C', 2)];[('C', 3)];0.18181818181818182;0.8181818181818182;0.0
[('S', 8), ('C', 10)];[('D', 6), ('C', 9)];[('D', 9), ('C', 5), ('C', 4)];[('D', 7)];0.22727272727272727;0.7727272727272727;0.0
[('C', 13), ('S', 7)];[('S', 14), ('H', 10)];[('D', 9), ('H', 13), ('C', 12)];[('C', 11)];0.0;1.0;0.0
[('D', 2), ('D', 3)];[('H', 10), ('H', 11)];[('S', 7), ('D', 8), ('S', 6)];[('S', 14)];0.13636363636363635;0.8636363636363636;0.0
[('S', 14), ('C', 10)];[('C', 7), ('H', 12)];[('C', 14), ('D', 13), ('H', 3)];[('S', 13)];1.0;0.0;0.0
